ID,scaffold_smiles,mean_shap,effect
Train: Pos 207,O=c1cc(-c2ccccc2)oc2c(NS(=O)(=O)c3cccs3)cccc12,0.001608602,positive
Train: Pos 208,O=C(OC(Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1ccccc1OCC1CC1,0.001607388,positive
Train: Pos 209,O=C(OC(Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1cccc(OCc2ccccc2)c1,0.001603196,positive
Train: Pos 210,O=C1CCCO1,0.001603175,positive
Train: Pos 211,O=C1CCC2=C(CCc3c2cccc3-c2cccc3c2ccc2ccccc23)C1,0.001598303,positive
Train: Pos 212,O=C(NCC1CCNC(=O)c2cc(NS(=O)(=O)c3cnoc3)ccc2OCCCCCO1)Nc1cccc2ccccc12,0.001598154,positive
Train: Pos 213,O=C1C=CC=CCCCCCCCCC=COC2Oc3ccc4cc(c(C=NN5CCNCC5)cc4c3C2=O)N1,0.001597975,positive
Train: Pos 214,O=C1OC23CCC4C5CCCCC5CCC4C2CCC12CCCCC23,0.001596717,positive
Train: Pos 215,O=C1C=CC2C(=CCC3C4CCCC4CCC23)C1,0.001595216,positive
Train: Pos 216,N=C1C(=Cc2ccc(-c3ccccc3)o2)C(=O)N=C2SC=CN12,0.001593399,positive
Train: Pos 217,O=C(OC(Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1cccc(Oc2ccccc2)c1,0.001593262,positive
Train: Pos 218,C=C1CCC2CCC3C(=CCC4C5CCCCC5CCC34)C2C1,0.001592096,positive
Train: Pos 219,O=C1CCCC2CCC3C4=CCC5CCCCC5C4CCC3C12,0.001591869,positive
Train: Pos 220,c1ccc2c(c1)CCCO2,0.001591401,positive
Train: Pos 221,O=C1NC(=S)NC(=O)C1=Cc1c[nH]nc1-c1cc2ccccc2oc1=O,0.001590029,positive
Train: Pos 222,O=C(C=CC=Cc1ccccc1)OC1CC23OC4(c5ccccc5)OC1C(O4)C2C1OC1CC1C(=O)C=CC13,0.001588951,positive
Train: Pos 223,O=C(Cc1ccccc1)Nc1ccc(OC2CCCCC2)cc1,0.001587787,positive
Train: Pos 224,O=C(CC1=CC(=Cc2ccccc2)c2ccccc21)Nc1ccccc1,0.001587408,positive
Train: Pos 225,O=C1C(=Cc2ccccc2)SC(=S)N1c1cccnc1,0.001586773,positive
Train: Pos 226,c1ccc(C(Cc2cc[nH+]cc2)c2cccc(OC3CCCC3)c2)cc1,0.001586317,positive
Train: Pos 227,O=C(Nc1ccccc1N1CCC1=O)c1cccc(-c2ccc3ncncc3c2)c1,0.00158214,positive
Train: Pos 228,O=C(CCCc1nccc2c1[nH]c1ccccc12)c1nccc2c1[nH]c1ccccc12,0.001581947,positive
Train: Pos 229,C=C1CCCCC1CC=C1CCOC1=O,0.001581027,positive
Train: Pos 230,O=C1CCC2C3=C(CCC2C1)C1CCCC1CC3,0.00157702,positive
Train: Pos 231,O=C(C=Cc1ccc(C2CC2)o1)Nc1ccccc1,0.001575096,positive
